fecha;hora;minuto;bebio;dinero_gastado
02/12/2018;0;0;0;0.0
03/12/2018;0;0;0;0.0
04/12/2018;0;0;0;0.0
05/12/2018;0;0;0;0.0
06/12/2018;0;0;0;0.0
07/12/2018;0;0;0;0.0
08/12/2018;0;0;0;0.0
09/12/2018;0;0;0;0.0
10/12/2018;0;0;0;0.0
11/12/2018;0;0;0;0.0
12/12/2018;0;0;0;0.0
13/12/2018;0;0;0;0.0
14/12/2018;0;0;0;0.0
15/12/2018;19;52;1;0.0
16/12/2018;0;0;0;0.0
17/12/2018;0;0;0;0.0
18/12/2018;0;0;0;0.0
19/12/2018;0;0;0;0.0
20/12/2018;0;0;0;0.0
21/12/2018;0;0;0;0.0
22/12/2018;0;0;0;0.0
23/12/2018;0;0;0;0.0
24/12/2018;0;0;0;0.0
25/12/2018;0;0;0;0.0
26/12/2018;0;0;0;0.0
27/12/2018;0;0;0;0.0
28/12/2018;19;30;1;5.0
29/12/2018;0;0;0;0.0
30/12/2018;0;0;0;0.0
31/12/2018;23;9;1;15.0
01/01/2019;0;0;0;0.0
02/01/2019;0;0;0;0.0
03/01/2019;0;0;0;0.0
04/01/2019;0;0;0;0.0
05/01/2019;0;0;0;0.0
06/01/2019;22;29;1;3.0
07/01/2019;0;0;0;0.0
08/01/2019;0;0;0;0.0
09/01/2019;0;0;0;0.0
10/01/2019;0;0;0;0.0
11/01/2019;21;50;1;3.0
12/01/2019;0;0;0;0.0
13/01/2019;0;0;0;0.0
14/01/2019;0;0;0;0.0
15/01/2019;0;0;0;0.0
16/01/2019;0;0;0;0.0
17/01/2019;19;5;1;3.0
18/01/2019;0;0;0;0.0
19/01/2019;0;0;0;0.0
20/01/2019;0;0;0;0.0
21/01/2019;0;0;0;0.0
22/01/2019;0;0;0;0.0
23/01/2019;0;0;0;0.0
24/01/2019;20;38;1;3.0
25/01/2019;0;0;0;0.0
26/01/2019;0;0;0;0.0
27/01/2019;0;0;0;0.0
28/01/2019;20;25;1;3.0
29/01/2019;0;0;0;0.0
30/01/2019;0;0;0;0.0
31/01/2019;0;0;0;0.0
01/02/2019;0;0;0;0.0
02/02/2019;23;49;1;3.0
03/02/2019;0;0;0;0.0
04/02/2019;0;0;0;0.0
05/02/2019;0;0;0;0.0
06/02/2019;0;0;0;0.0
07/02/2019;0;0;0;0.0
08/02/2019;0;0;0;0.0
09/02/2019;23;50;1;2.0
10/02/2019;0;0;0;0.0
11/02/2019;0;0;0;0.0
12/02/2019;0;0;0;0.0
13/02/2019;0;8;1;3.0
14/02/2019;0;0;0;0.0
15/02/2019;0;0;0;0.0
16/02/2019;0;0;0;0.0
17/02/2019;23;1;1;5.0
18/02/2019;0;0;0;0.0
19/02/2019;0;0;0;0.0
20/02/2019;21;3;1;3.0
21/02/2019;0;0;0;0.0
22/02/2019;0;0;0;0.0
23/02/2019;0;0;0;0.0
24/02/2019;0;0;0;0.0
25/02/2019;0;0;0;0.0
26/02/2019;22;16;1;3.0
27/02/2019;0;0;0;0.0
28/02/2019;0;0;0;0.0
01/03/2019;21;55;1;0.0
02/03/2019;0;0;0;0.0
03/03/2019;0;0;0;0.0
04/03/2019;22;3;1;3.0
05/03/2019;0;0;0;0.0
06/03/2019;0;0;0;0.0
07/03/2019;0;0;0;0.0
08/03/2019;0;0;0;0.0
09/03/2019;15;29;1;3.0
10/03/2019;0;0;0;0.0
11/03/2019;0;0;0;0.0
12/03/2019;0;0;0;0.0
13/03/2019;0;0;0;0.0
14/03/2019;0;0;0;0.0
15/03/2019;23;58;1;0.0
16/03/2019;0;0;0;0.0
17/03/2019;0;0;0;0.0
18/03/2019;19;18;1;5.0
19/03/2019;0;0;0;0.0
20/03/2019;0;0;0;0.0
21/03/2019;0;0;0;0.0
22/03/2019;0;0;0;0.0
23/03/2019;14;38;1;2.0
24/03/2019;0;0;0;0.0
25/03/2019;0;0;0;0.0
26/03/2019;22;35;1;2.0
27/03/2019;0;0;0;0.0
28/03/2019;0;0;0;0.0
29/03/2019;0;0;0;0.0
30/03/2019;0;0;0;0.0
31/03/2019;0;0;0;0.0
01/04/2019;0;0;0;0.0
02/04/2019;0;0;0;0.0
03/04/2019;22;7;1;2.0
04/04/2019;0;0;0;0.0
05/04/2019;0;0;0;0.0
06/04/2019;20;6;1;3.0
07/04/2019;14;6;1;1.0
08/04/2019;0;0;0;0.0
09/04/2019;0;0;0;0.0
10/04/2019;0;0;0;0.0
11/04/2019;0;0;0;0.0
12/04/2019;0;0;0;0.0
13/04/2019;0;0;0;0.0
14/04/2019;0;0;0;0.0
15/04/2019;0;0;0;0.0
16/04/2019;22;24;1;3.0
17/04/2019;0;0;0;0.0
18/04/2019;0;0;0;0.0
19/04/2019;0;0;0;0.0
20/04/2019;0;0;0;0.0
21/04/2019;0;0;0;0.0
22/04/2019;0;0;0;0.0
23/04/2019;23;13;1;2.0
24/04/2019;0;0;0;0.0
25/04/2019;0;0;0;0.0
26/04/2019;0;0;0;0.0
27/04/2019;0;0;0;0.0
28/04/2019;0;0;0;0.0
29/04/2019;0;0;0;0.0
30/04/2019;0;0;0;0.0
01/05/2019;0;0;0;0.0
02/05/2019;0;0;0;0.0
03/05/2019;0;0;0;0.0
04/05/2019;0;0;0;0.0
05/05/2019;0;0;0;0.0
06/05/2019;0;0;0;0.0
07/05/2019;0;0;0;0.0
08/05/2019;16;35;1;2.0
09/05/2019;0;0;0;0.0
10/05/2019;0;0;0;0.0
11/05/2019;0;0;0;0.0
12/05/2019;0;0;0;0.0
13/05/2019;21;56;1;2.0
14/05/2019;0;0;0;0.0
15/05/2019;22;29;1;5.0
16/05/2019;0;0;0;0.0
17/05/2019;18;1;1;3.0
18/05/2019;0;0;0;0.0
19/05/2019;0;0;0;0.0
20/05/2019;0;0;0;0.0
21/05/2019;21;26;1;5.0
22/05/2019;0;0;0;0.0
23/05/2019;0;0;0;0.0
24/05/2019;0;0;0;0.0
25/05/2019;19;48;1;3.0
26/05/2019;0;0;0;0.0
27/05/2019;20;20;1;0.0
28/05/2019;0;0;0;0.0
29/05/2019;0;0;0;0.0
30/05/2019;0;0;0;0.0
31/05/2019;22;25;1;4.0
01/06/2019;0;0;0;0.0
02/06/2019;0;0;0;0.0
03/06/2019;20;19;1;0.0
04/06/2019;0;0;0;0.0
05/06/2019;0;0;0;0.0
06/06/2019;0;0;0;0.0
07/06/2019;20;34;1;2.0
08/06/2019;0;0;0;0.0
09/06/2019;0;0;0;0.0
10/06/2019;0;0;0;0.0
11/06/2019;21;34;1;2.0
12/06/2019;0;0;0;0.0
13/06/2019;0;0;0;0.0
14/06/2019;0;0;0;0.0
15/06/2019;23;55;1;6.0
16/06/2019;0;0;0;0.0
17/06/2019;21;6;1;3.0
18/06/2019;0;0;0;0.0
19/06/2019;21;55;1;0.0
20/06/2019;0;0;0;0.0
21/06/2019;0;0;0;0.0
22/06/2019;20;45;1;3.0
23/06/2019;0;0;0;0.0
24/06/2019;19;59;1;3.0
25/06/2019;0;0;0;0.0
26/06/2019;0;0;0;0.0
27/06/2019;0;0;0;0.0
28/06/2019;22;53;1;3.0
29/06/2019;0;0;0;0.0
30/06/2019;0;0;0;0.0
01/07/2019;0;0;0;0.0
02/07/2019;19;24;1;2.0
03/07/2019;0;0;0;0.0
04/07/2019;0;0;0;0.0
05/07/2019;0;0;0;0.0
06/07/2019;18;27;1;3.0
07/07/2019;0;0;0;0.0
08/07/2019;0;0;0;0.0
09/07/2019;0;0;0;0.0
10/07/2019;0;0;0;0.0
11/07/2019;0;0;0;0.0
12/07/2019;0;0;0;0.0
13/07/2019;0;0;0;0.0
14/07/2019;0;0;0;0.0
15/07/2019;0;0;0;0.0
16/07/2019;0;0;0;0.0
17/07/2019;0;0;0;0.0
18/07/2019;0;0;0;0.0
19/07/2019;20;44;1;3.0
20/07/2019;0;0;0;0.0
21/07/2019;20;19;1;3.0
22/07/2019;0;0;0;0.0
23/07/2019;0;0;0;0.0
24/07/2019;21;20;1;3.0
25/07/2019;0;0;0;0.0
26/07/2019;22;58;1;0.0
27/07/2019;21;47;1;0.0
28/07/2019;20;28;1;2.0
29/07/2019;23;44;1;2.0
30/07/2019;0;0;0;0.0
31/07/2019;0;0;0;0.0
01/08/2019;0;0;0;0.0
02/08/2019;20;27;1;4.0
03/08/2019;20;43;1;3.0
04/08/2019;20;52;1;3.0
05/08/2019;22;7;1;2.0
06/08/2019;0;0;0;0.0
07/08/2019;0;0;0;0.0
08/08/2019;0;0;0;0.0
09/08/2019;0;0;0;0.0
10/08/2019;17;2;1;0.0
11/08/2019;0;0;0;0.0
12/08/2019;0;0;0;0.0
13/08/2019;0;0;0;0.0
14/08/2019;0;0;0;0.0
15/08/2019;0;0;0;0.0
16/08/2019;0;0;0;0.0
17/08/2019;0;0;0;0.0
18/08/2019;0;0;0;0.0
19/08/2019;0;0;0;0.0
20/08/2019;0;0;0;0.0
21/08/2019;0;0;0;0.0
22/08/2019;19;8;1;3.0
